date,value
2011-01-01,0.0
2011-01-02,0.0
2011-01-03,56.3548632218845
2011-01-04,0.0
2011-01-05,0.0
2011-01-06,23.0
2011-01-07,0.0
2011-01-08,0.0
2011-01-09,0.0
2011-01-10,0.0
2011-01-11,0.0
2011-01-12,0.0
2011-01-13,0.0
2011-01-14,0.0
2011-01-15,91.451367781155
2011-01-16,0.0
2011-01-17,0.0
2011-01-18,0.0
2011-01-19,0.0
2011-01-20,0.0
2011-01-21,0.0
2011-01-22,26.5
2011-01-23,0.0
2011-01-24,71.62386018237082
2011-01-25,0.0
2011-01-26,0.0
2011-01-27,0.0
2011-01-28,0.0
2011-01-29,0.0
2011-01-30,0.0
2011-01-31,20.0
2011-02-01,0.0
2011-02-02,0.0
2011-02-03,20.5
2011-02-04,0.0
2011-02-05,0.0
2011-02-06,0.0
2011-02-07,0.0
2011-02-08,20.5
2011-02-09,0.0
2011-02-10,0.0
2011-02-11,53.48936170212766
2011-02-12,0.0
2011-02-13,0.0
2011-02-14,0.0
2011-02-15,0.0
2011-02-16,20.5
2011-02-17,0.0
2011-02-18,0.0
2011-02-19,0.0
2011-02-20,0.0
2011-02-21,0.0
2011-02-22,0.0
2011-02-23,20.5
2011-02-24,0.0
2011-02-25,21.5
2011-02-26,0.0
2011-02-27,0.0
2011-02-28,0.0
2011-03-01,68.71352583586626
2011-03-02,0.0
2011-03-03,50.62386018237083
2011-03-04,0.0
2011-03-05,0.0
2011-03-06,0.0
2011-03-07,0.0
2011-03-08,0.0
2011-03-09,20.5
2011-03-10,0.0
2011-03-11,0.0
2011-03-12,0.0
2011-03-13,0.0
2011-03-14,0.0
2011-03-15,0.0
2011-03-16,69.66869300911854
2011-03-17,21.0
2011-03-18,22.0
2011-03-19,25.5
2011-03-20,0.0
2011-03-21,89.71352583586626
2011-03-22,20.5
2011-03-23,0.0
2011-03-24,21.0
2011-03-25,0.0
2011-03-26,26.0
2011-03-27,0.0
2011-03-28,0.0
2011-03-29,0.0
2011-03-30,0.0
2011-03-31,0.0
2011-04-01,0.0
2011-04-02,0.0
2011-04-03,0.0
2011-04-04,0.0
2011-04-05,0.0
2011-04-06,0.0
2011-04-07,21.0
2011-04-08,0.0
2011-04-09,0.0
2011-04-10,0.0
2011-04-11,0.0
2011-04-12,0.0
2011-04-13,0.0
2011-04-14,21.0
2011-04-15,0.0
2011-04-16,0.0
2011-04-17,0.0
2011-04-18,0.0
2011-04-19,0.0
2011-04-20,0.0
2011-04-21,0.0
2011-04-22,25.0
2011-04-23,0.0
2011-04-24,0.0
2011-04-25,78.39969604863222
2011-04-26,68.71352583586626
2011-04-27,20.0
2011-04-28,0.0
2011-04-29,0.0
2011-04-30,0.0
2011-05-01,0.0
2011-05-02,20.5
2011-05-03,0.0
2011-05-04,0.0
2011-05-05,0.0
2011-05-06,52.53419452887538
2011-05-07,0.0
2011-05-08,0.0
2011-05-09,68.71352583586626
2011-05-10,0.0
2011-05-11,0.0
